STATION NAME,DATE,DX32,DX90,EMNT,EMSN,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN
TROY LOCK AND DAM NY,1985-07,0,1,51,0,90,3.02,0,72.9,83.4,62.5
TROY LOCK AND DAM NY,1985-08,0,3,53,0,94,2.28,0,71.2,81.9,60.5
TROY LOCK AND DAM NY,1985-10,0,0,28,0,77,1.64,0,51.9,62.7,41.1
TROY LOCK AND DAM NY,1985-11,1,0,22,6,71,3.27,11.5,40.9,48.3,33.6
TROY LOCK AND DAM NY,1985-12,17,0,-3,,50,1.71,,25.3,32.2,18.4
TROY LOCK AND DAM NY,1986-01,14,0,-5,,52,1.61,,23.3,32.2,14.5
TROY LOCK AND DAM NY,1986-02,16,0,6,6,40,2.47,13.6,23.1,30.8,15.4
TROY LOCK AND DAM NY,1986-03,5,0,2,0,84,3.88,0,35.9,45.1,26.6
TROY LOCK AND DAM NY,1986-04,0,0,32,0,83,1.58,0,52.1,62.9,41.4
TROY LOCK AND DAM NY,1986-05,0,1,35,0,91,2.19,0,62.4,74.4,50.5
TROY LOCK AND DAM NY,1986-07,0,2,51,0,93,4.22,0,71.7,81.6,61.9
TROY LOCK AND DAM NY,1986-09,0,0,38,0,80,2.97,0,60.6,70.5,50.7
TROY LOCK AND DAM NY,1986-10,0,0,28,0,80,2.35,0,50.5,60.8,40.1
TROY LOCK AND DAM NY,1986-11,1,0,12,0,61,4.22,0,36.8,45.6,27.9
TROY LOCK AND DAM NY,1986-12,3,0,12,,45,3.08,,30.2,37,23.4
TROY LOCK AND DAM NY,1987-01,16,0,-12,15,45,3.26,31.1,22.7,31.2,14.2
TROY LOCK AND DAM NY,1987-02,13,0,-8,0,45,0.12,0,21.3,31.9,10.6
TROY LOCK AND DAM NY,1987-03,1,0,6,,71,1.28,,37.7,48.2,27.2
TROY LOCK AND DAM NY,1987-06,0,2,45,0,92,2.52,0,69,79.4,58.7
TROY LOCK AND DAM NY,1987-07,0,11,51,0,95,2.67,0,74.5,85.3,63.7
TROY LOCK AND DAM NY,1987-08,0,3,48,0,95,2.97,0,68.8,80.1,57.4
TROY LOCK AND DAM NY,1987-09,0,0,41,0,80,6.38,0,61.8,70.5,53.1
TROY LOCK AND DAM NY,1987-10,0,0,28,0,72,7.22,0,48.2,58.6,37.8
TROY LOCK AND DAM NY,1987-11,2,0,14,3,74,1.04,5,40.4,49.3,31.4
TROY LOCK AND DAM NY,1987-12,6,0,-3,1.5,52,1.11,4,31.9,38.2,25.7
TROY LOCK AND DAM NY,1988-01,16,0,-12,0,43,1.76,0,21.3,30.5,12.1
TROY LOCK AND DAM NY,1988-02,16,0,2,,55,2.58,,25.4,34.2,16.6
TROY LOCK AND DAM NY,1988-03,3,0,8,0,67,1.55,0,34.2,44,24.4
TROY LOCK AND DAM NY,1988-04,0,0,31,0,71,2.02,0,47.2,56.8,37.7
TROY LOCK AND DAM NY,1988-08,0,11,47,0,96,4.32,0,74.4,85.2,63.7
TROY LOCK AND DAM NY,1988-09,0,0,39,0,82,1.59,0,61.1,72.4,49.9
TROY LOCK AND DAM NY,1988-12,10,0,-10,3.5,52,0.92,3.8,27.8,36.2,19.2
TROY LOCK AND DAM NY,1989-01,8,0,0,1,51,0.6,1,28,36.8,19.2
TROY LOCK AND DAM NY,1989-03,5,0,-3,0,78,2.12,0,33.4,44.3,22.5
TROY LOCK AND DAM NY,1989-05,0,1,41,0,91,5.94,0,60.3,70.2,50.3
TROY LOCK AND DAM NY,1989-07,0,5,55,0,92,6.53,0,72.7,82.9,62.5
TROY LOCK AND DAM NY,1989-08,0,2,47,0,92,2.46,0,70.3,80.9,59.7
TROY LOCK AND DAM NY,1989-09,0,1,36,0,93,2.99,0,64.3,74.5,54.1
TROY LOCK AND DAM NY,1989-10,0,0,33,0,76,3.74,0,52.4,63.4,41.4
TROY LOCK AND DAM NY,1990-01,4,0,11,,57,3.58,,33,40.5,25.5
TROY LOCK AND DAM NY,1990-02,8,0,-3,8,57,2.75,27.9,28.4,38.7,18
